Gene_ID	high_shear_rep1	high_shear_rep2	high_shear_rep3	high_shear_rep4	low_shear_rep1	low_shear_rep2	low_shear_rep3	low_shear_rep4
ENSGALG00010000711	269	365	431	290	190	189	204	167
ENSGALG00010000715	0	1	1	0	0	2	0	2
ENSGALG00010000717	834	765	854	651	714	872	1011	948
ENSGALG00010000720	354	383	431	388	331	438	321	353
ENSGALG00010000724	50	120	50	99	99	68	82	93
ENSGALG00010000726	0	0	0	0	0	0	0	0
ENSGALG00010000729	114	136	128	79	112	62	88	76
ENSGALG00010000734	0	0	2	2	0	8	3	1
ENSGALG00010000757	0	2	2	0	0	0	5	0
ENSGALG00010000762	0	1	0	1	1	0	0	0
ENSGALG00010000777	301	297	435	274	269	742	342	422
ENSGALG00010000784	155	165	177	136	98	147	149	151
ENSGALG00010000785	65	79	90	75	83	88	71	49
ENSGALG00010000788	1405	1628	1264	1421	1194	1264	1248	1163
ENSGALG00010000791	11	10	10	13	7	3	3	10
ENSGALG00010000793	0	0	0	0	0	2	0	0
ENSGALG00010000795	6	11	18	12	7	13	5	12
ENSGALG00010000796	2	1	5	2	0	0	1	0
ENSGALG00010000800	606	590	667	613	521	1119	565	1080
ENSGALG00010000804	0	0	0	0	0	0	0	0
ENSGALG00010000810	328	370	363	394	329	350	314	296
ENSGALG00010000812	257	312	269	257	238	433	266	293
ENSGALG00010000816	217	188	206	223	157	321	196	363
ENSGALG00010000818	10	33	28	19	13	55	16	30
ENSGALG00010000820	90	58	102	80	145	94	196	101
ENSGALG00010000823	51	38	40	59	87	80	52	56
ENSGALG00010000843	62	79	102	88	82	86	77	91
ENSGALG00010000859	16	19	15	20	10	18	23	22
ENSGALG00010000864	224	319	256	349	256	294	226	162
ENSGALG00010000870	9	20	27	26	13	14	10	15
ENSGALG00010000876	0	0	2	0	0	0	0	0
ENSGALG00010000901	0	2	5	0	0	0	3	0
ENSGALG00010000902	0	0	0	0	0	0	0	0
ENSGALG00010000903	0	0	0	0	0	0	0	0
ENSGALG00010000905	0	0	0	0	0	0	0	0
ENSGALG00010000906	0	0	0	0	0	0	0	0
ENSGALG00010000907	1	1	0	0	0	0	0	0
ENSGALG00010000908	0	0	0	0	0	0	0	0
ENSGALG00010000910	2	0	1	0	0	1	0	0
ENSGALG00010000912	0	0	0	0	0	0	0	0
ENSGALG00010000913	0	0	0	0	0	0	0	0
ENSGALG00010000914	3	1	0	0	1	1	1	2
ENSGALG00010000916	0	3	1	1	0	1	1	3
ENSGALG00010000917	0	0	0	0	0	0	0	0
ENSGALG00010000918	0	0	0	0	0	0	0	0
ENSGALG00010000920	0	0	0	0	0	0	0	0
ENSGALG00010000921	0	0	0	0	0	0	0	0
ENSGALG00010000922	0	0	0	0	0	0	0	0
ENSGALG00010000923	0	0	0	0	0	0	0	0
ENSGALG00010000925	0	0	0	0	0	0	0	0
ENSGALG00010000926	0	0	1	0	0	0	0	0
ENSGALG00010000927	0	0	0	0	0	0	0	0
ENSGALG00010000928	0	0	0	0	0	0	0	1
ENSGALG00010000930	0	0	0	0	0	0	0	0
ENSGALG00010000931	0	0	0	0	0	0	0	0
ENSGALG00010000932	0	0	0	0	0	0	0	0
ENSGALG00010000933	0	0	0	0	0	0	0	0
ENSGALG00010000935	0	2	2	1	0	4	1	1
ENSGALG00010000936	8	5	7	0	2	1	1	1
ENSGALG00010000938	0	0	1	0	0	1	0	0
ENSGALG00010000939	1	0	0	0	0	1	0	0
ENSGALG00010000941	0	0	0	0	0	0	0	0
ENSGALG00010000942	0	0	0	0	0	0	0	0
