Gene_ID	High_Shear_Mean	Low_Shear_Mean	Log2_FC	Mean_Expression	Abs_Log2_FC
ENSGALG00010029558	204.25	3.25	5.59377557052747	103.75	5.59377557052747
ENSGALG00010005194	29	0.25	4.58496250072116	14.625	4.58496250072116
ENSGALG00010002819	33.5	4	2.78659636189081	18.75	2.78659636189081
ENSGALG00010021130	38.75	5.75	2.55799545312089	22.25	2.55799545312089
ENSGALG00010005583	30.25	5	2.38082178394093	17.625	2.38082178394093
ENSGALG00010019253	289.25	58	2.29850920750373	173.625	2.29850920750373
ENSGALG00010003868	288.25	58	2.29353009974565	173.125	2.29353009974565
ENSGALG00010007860	20.75	3.5	2.27301849440642	12.125	2.27301849440642
ENSGALG00010029470	56.25	11.5	2.19534759832222	33.875	2.19534759832222
ENSGALG00010003722	29.5	5.75	2.17584983539942	17.625	2.17584983539942
