Gene_ID	High_Shear_Mean	Low_Shear_Mean	Log2_FC	Mean_Expression	Abs_Log2_FC
ENSGALG00010010260	3.75	23.75	-2.38142910663602	13.75	2.38142910663602
ENSGALG00010008037	7.25	39.5	-2.29545588352617	23.375	2.29545588352617
ENSGALG00010014488	32.5	123.75	-1.89680681487949	78.125	1.89680681487949
ENSGALG00010004793	4.5	16.25	-1.64909283814087	10.375	1.64909283814087
ENSGALG00010016987	208	601	-1.52626054467882	404.5	1.52626054467882
ENSGALG00010016978	840.75	2331	-1.47010406737285	1585.875	1.47010406737285
ENSGALG00010004792	6	18	-1.44057259138598	12	1.44057259138598
ENSGALG00010025857	9.75	28	-1.43171624042547	18.875	1.43171624042547
ENSGALG00010004949	5.75	17	-1.41503749927884	11.375	1.41503749927884
ENSGALG00010001411	26.25	71.5	-1.41172476523801	48.875	1.41172476523801
